Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere
0130949L;Ecole maternelle Sinoncelli;ECOLE MATERNELLE PUBLIQUE;SINONCELLI;Public;49 rue Boisselot;;;13014;MARSEILLE;Marseille 14e  Arrondissement;893956.2;6249511.1;EPSG:2154;43.31833738753329;5.390000261345137;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3183373875,5.39000026135;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131005X;Ecole élémentaire mimet village;ECOLE ELEMENTAIRE  PUBLIQUE;MIMET VILLAGE;Public;Quartier de la Tour;;;13105;MIMET;Mimet;902928.5;6260699.1;EPSG:2154;43.416436345851075;5.50485971695293;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13062;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4164363459,5.50485971695;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131008A;Ecole primaire Jean Moulin;ECOLE PRIMAIRE  PUBLIQUE;JEAN MOULIN;Public;Avenue Jean Moulin;;;13140;MIRAMAS;Miramas;862042.7;6277520.0;EPSG:2154;43.57821768179987;5.005700040964928;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5782176818,5.00570004096;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131012E;Ecole primaire Village;ECOLE PRIMAIRE PUBLIQUE;VILLAGE;Public;Rue des Ecoles Qua Village;;;13140;MIRAMAS;Miramas;863597.1;6275812.8;EPSG:2154;43.56250536940308;5.024389768231181;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13063;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5625053694,5.02438976823;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131020N;Ecole primaire Paluds de Noves;ECOLE PRIMAIRE PUBLIQUE;PALUDS DE NOVES;Public;Avenue François Marcel roudier;PALUDS DE NOVES;;13550;NOVES;Noves;853049.0;6305662.0;EPSG:2154;43.833372252427395;4.902816118552937;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13066;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.8333722524,4.90281611855;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131027W;Ecole primaire de La Gare;ECOLE PRIMAIRE  PUBLIQUE;DE LA GARE;Public;Avenue Frédéric Mistral;;;13330;PELISSANNE;Pélissanne;873811.1;6284035.8;EPSG:2154;43.63403602490675;5.153493880001844;Correcte;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13069;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6340360249,5.15349388;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131044P;Ecole élémentaire Auberge Neuve;ECOLE ELEMENTAIRE  PUBLIQUE;AUBERGE NEUVE;Public;;AUBERGE NEUVE;;13124;PEYPIN;Peypin;906790.0;6258198.0;EPSG:2154;43.39283495519336;5.551494264424964;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13073;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3928349552,5.55149426442;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131106G;Ecole élémentaire Pierre Barbizet;ECOLE ELEMENTAIRE  PUBLIQUE;PIERRE BARBIZET;Public;18 avenue Henri Barbusse;;;13760;ST CANNAT;Saint-Cannat;885438.0;6283061.9;EPSG:2154;43.622328632165086;5.297119795624626;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;2;A FERMER;13;93;2;13091;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6223286322,5.29711979562;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131204N;Ecole élémentaire Les Granettes;ECOLE ELEMENTAIRE  PUBLIQUE;GRANETTES (LES);Public;Chemin du Granet;;;13090;AIX EN PROVENCE;Aix-en-Provence;893549.4;6273873.4;EPSG:2154;43.53752379892289;5.394089710298086;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5375237989,5.3940897103;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131209U;Ecole élémentaire  Roy d'Espagne;ECOLE ELEMENTAIRE  PUBLIQUE;ROY D'ESPAGNE;Public;1 allée EMMANUEL CHABRIER;;;13008;MARSEILLE;Marseille  8e  Arrondissement;893893.0;6240802.0;EPSG:2154;43.2400475517863;5.385980198706497;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13208;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2400475518,5.38598019871;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131213Y;Ecole élémentaire Albert Camus;ECOLE ELEMENTAIRE  PUBLIQUE;ALBERT CAMUS;Public;Rue Vincent Scotto;;;13200;ARLES;Arles;832035.0;6289732.8;EPSG:2154;43.69430611419735;4.637529449348345;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13004;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6943061142,4.63752944935;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131219E;Ecole élémentaire Albert Camus;ECOLE ELEMENTAIRE  PUBLIQUE;ALBERT CAMUS;Public;Avenue de Lacanau;;;13700;MARIGNANE;Marignane;880077.4;6259477.2;EPSG:2154;43.41160146576418;5.222529847405341;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13054;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4116014658,5.22252984741;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131227N;Ecole élémentaire Rose Val Plan;ECOLE ELEMENTAIRE  PUBLIQUE;ROSE VAL PLAN;Public;77 avenue de la Croix Rouge;;;13013;MARSEILLE;Marseille 13e  Arrondissement;897631.3;6251383.9;EPSG:2154;43.33416680997891;5.435969458644216;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.33416681,5.43596945864;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131247K;Ecole maternelle Rose Frais Vallon Nord;ECOLE MATERNELLE PUBLIQUE;ROSE FRAIS VALLON NORD;Public;39 avenue de Frais Vallon;;;13013;MARSEILLE;Marseille 13e  Arrondissement;896860.0;6250360.0;EPSG:2154;43.3251738883293;5.426080908121367;MANUEL;BATIMENT;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3251738883,5.42608090812;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131251P;Ecole maternelle Parc des Chartreux;ECOLE MATERNELLE PUBLIQUE;PARC DES CHARTREUX;Public;61 avenue de Saint Just;;;13013;MARSEILLE;Marseille 13e  Arrondissement;895190.2;6249440.7;EPSG:2154;43.31736736752376;5.405170277900649;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3173673675,5.4051702779;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131261A;Collège Auguste Renoir;COLLEGE;AUGUSTE RENOIR;Public;50  AVENUE SAINT PAUL;;;13388;MARSEILLE CEDEX 13;Marseille 13e  Arrondissement;895413.0;6250600.0;EPSG:2154;43.32773029636164;5.408349520146369;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3277302964,5.40834952015;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131277T;Ecole maternelle Notre-Dame Limite HLM Perrin;ECOLE MATERNELLE PUBLIQUE;N.D LIMITE HLM PERRIN;Public;Chemin des Bourrely;;;13015;MARSEILLE;Marseille 15e  Arrondissement;891448.0;6256777.0;EPSG:2154;43.38435077766127;5.361788982397492;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3843507777,5.3617889824;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131537A;Ecole élémentaire Peyssonnel 1;ECOLE ELEMENTAIRE PUBLIQUE;PEYSSONNEL 1;Public;22 rue Peyssonnel;;;13003;MARSEILLE;Marseille  3e  Arrondissement;892626.0;6248286.0;EPSG:2154;43.30768255856569;5.3731653800225745;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13203;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3076825586,5.37316538002;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131539C;Ecole maternelle Saint-Louis Le Rove;ECOLE MATERNELLE PUBLIQUE;SAINT LOUIS LE ROVE;Public;50 chemin du Rove;;;13015;MARSEILLE;Marseille 15e  Arrondissement;891059.0;6252877.0;EPSG:2154;43.349386066886005;5.355558128456016;MANUEL;BATIMENT;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3493860669,5.35555812846;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131565F;Ecole élémentaire Canourgues;ECOLE ELEMENTAIRE  PUBLIQUE;CANOURGUES;Public;Rue Font Ségugne;;;13300;SALON DE PROVENCE;Salon-de-Provence;869492.4;6285671.0;EPSG:2154;43.64979067587832;5.100550203185946;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13103;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6497906759,5.10055020319;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131638K;Ecole élémentaire Notre-Dame Limite HLM Perrin;ECOLE ELEMENTAIRE  PUBLIQUE;N.D LIMITE HLM PERRIN;Public;Chemin des Bourrely;;;13015;MARSEILLE;Marseille 15e  Arrondissement;891448.0;6256777.0;EPSG:2154;43.38435077766127;5.361788982397492;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3843507777,5.3617889824;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131647V;Ecole maternelle Saint-Jérôme Les Lilas;ECOLE MATERNELLE PUBLIQUE;SAINT JEROME LES LILAS;Public;2 rue Fernand Léger;;;13013;MARSEILLE;Marseille 13e  Arrondissement;895625.8;6251024.2;EPSG:2154;43.33148615535806;5.4111301137597465;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3314861554,5.41113011376;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131653B;Ecole maternelle La Visitation;ECOLE MATERNELLE PUBLIQUE;VISITATION (LA);Public;38 boulevard Frédéric Sauvage;;;13014;MARSEILLE;Marseille 14e  Arrondissement;892110.0;6251515.0;EPSG:2154;43.33685629732309;5.36800468861641;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3368562973,5.36800468862;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131685L;L.T.P. CLOVIS HUGUES;SECTION GEN ET TECHNOL.PRIVEE;CLOVIS HUGUES;Privé;7 rue FERNAND DOL;;;13100;AIX EN PROVENCE;Aix-en-Provence;898278.3;6272737.0;EPSG:2154;43.5259987628482;5.4521098282804505;Parfaite;Numéro de rue;335;SECTION ENSEIGT GENERAL ET TECHNOLOGIQUE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5259987628,5.45210982828;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0131703F;Collège Edouard Manet;COLLEGE;EDOUARD MANET;Public;AVENUE RAIMU;;;13014;MARSEILLE;Marseille 14e  Arrondissement;894687.0;6251205.0;EPSG:2154;43.33336908225192;5.399634040443975;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3333690823,5.39963404044;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131704G;Collège Arthur Rimbaud;COLLEGE;ARTHUR RIMBAUD;Public;19  TRAVERSE SANTI LA CALADE;;;13015;MARSEILLE;Marseille 15e  Arrondissement;890502.0;6252298.0;EPSG:2154;43.34432893263555;5.348482706937176;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3443289326,5.34848270694;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131706J;Collège Commandant Cousteau;COLLEGE;COUSTEAU (COMMANDANT);Public;AVENUE DE LA PLANTADE;;;13340;ROGNAC;Rognac;880792.8;6267528.6;EPSG:2154;43.48382675574098;5.234165532315166;Parfaite;Rue;340;COLLEGE;1;OUVERT;13;93;2;13081;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4838267557,5.23416553232;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131715U;Lycée professionnel agricole de Saint-Remy-de-Provence;LYCEE PROFESSIONNEL AGRICOLE;DE ST REMYDE PROVENCE;Public;RUE EDOUARD HERIOT;;;13210;ST REMY DE PROVENCE;Saint-Rémy-de-Provence;847774.5;6300907.6;EPSG:2154;43.791723456113914;4.835889707839965;Parfaite;Numéro de rue;320;LYCEE PROFESSIONNEL;1;OUVERT;13;93;2;13100;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.7917234561,4.83588970784;99;SANS OBJET;3;AGRICULTURE
0131723C;Collège Jean Jaurès;COLLEGE;JEAN JAURES;Public;QUARTIER LA MARINIERE;;;13860;PEYROLLES EN PROVENCE;Peyrolles-en-Provence;907910.0;6286419.0;EPSG:2154;43.646281794484345;5.576662226332888;Correcte;Rue;340;COLLEGE;1;OUVERT;13;93;2;13074;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6462817945,5.57666222633;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131756N;Collège Darius Milhaud;COLLEGE;DARIUS MILHAUD;Public;36 boulevard LOUIS ARMAND;;;13012;MARSEILLE;Marseille 12e  Arrondissement;895804.0;6247387.0;EPSG:2154;43.298733057928395;5.411956189934586;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2987330579,5.41195618993;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0131805S;Ecole primaire privée Yavné;ECOLE PRIMAIRE PRIVEE;YAVNE;Privé;44 boulevard Barry;;;13013;MARSEILLE;Marseille 13e  Arrondissement;895565.5;6249513.9;EPSG:2154;43.31792263408475;5.409819445493916;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3179226341,5.40981944549;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0131862D;Lycée général et technologique privé le Sacré-Coeur;LYCEE GEN.ET TECHNOL.PRIVE;SACRE COEUR (LE);Privé;29 rue MANUEL;;;13100;AIX EN PROVENCE;Aix-en-Provence;898366.1;6273010.4;EPSG:2154;43.528432872097824;5.453299968876162;Parfaite;Numéro de rue;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5284328721,5.45329996888;31;CONTRAT ASSOCIATION PARTIE DES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132018Y;Ecole primaire privée Saint François d'Assise;ECOLE PRIMAIRE PRIVEE;SAINT FRANCOIS D'ASSISE;Privé;813 chemin  des frères gris  Luynes;;;13080;AIX EN PROVENCE;Aix-en-Provence;896444.2;6268234.5;EPSG:2154;43.48601871902422;5.427730424014722;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.486018719,5.42773042401;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132031M;Ecole primaire privée Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;SACRE-COEUR;Privé;15 rue du Logisson;;;13310;ST MARTIN DE CRAU;Saint-Martin-de-Crau;846064.3;6283586.9;EPSG:2154;43.636262904796574;4.809719481399764;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13097;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6362629048,4.8097194814;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132047E;Ecole primaire privée Sainte Trinité;ECOLE PRIMAIRE PRIVEE;SAINTE TRINITE;Privé;55 avenue de Lattre de Tassigny;;;13009;MARSEILLE;Marseille  9e  Arrondissement;895621.0;6241681.0;EPSG:2154;43.24747901505893;5.40756095027223;MANUEL;BATIMENT;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13209;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2474790151,5.40756095027;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132081S;Ecole primaire privée Sévigné;ECOLE PRIMAIRE PRIVEE;SEVIGNE;Privé;1 avenue DE SAINT JEROME;;;13202;MARSEILLE CEDEX 02;Marseille 13e  Arrondissement;896260.5;6250764.8;EPSG:2154;43.32897911964102;5.418850135038053;Correcte;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13213;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3289791196,5.41885013504;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132082T;Ecole primaire privée Saint Barnabé;ECOLE PRIMAIRE PRIVEE;SAINT BARNABE;Privé;2 rue Léon Meisserel;;;13012;MARSEILLE;Marseille 12e  Arrondissement;896324.0;6248057.2;EPSG:2154;43.30461607908255;5.418610454001772;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3046160791,5.418610454;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132099L;Ecole primaire privée Notre-Dame de Caderot;ECOLE PRIMAIRE PRIVEE;NOTRE-DAME DE CADEROT;Privé;Chemin de Caderot Quart Autin;;;13130;BERRE L ETANG;Berre-l'Etang;875407.6;6266845.2;EPSG:2154;43.47903086595322;5.16741955824765;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13014;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.479030866,5.16741955825;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132108W;Ecole élémentaire privée Viala-Lacoste;ECOLE ELEMENTAIRE PRIVEE;VIALA-LACOSTE;Privé;76 avenue Gaston Cabrier;;;13300;SALON DE PROVENCE;Salon-de-Provence;869597.6;6284690.3;EPSG:2154;43.64094435886682;5.1015299569566475;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13103;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6409443589,5.10152995696;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132110Y;Ecole primaire privée Jeanne d'Arc;ECOLE PRIMAIRE PRIVEE;JEANNE D'ARC;Privé;Route Lancon;;;13330;PELISSANNE;Pélissanne;873808.0;6283174.0;EPSG:2154;43.62628534398183;5.153164404412452;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13069;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.626285344,5.15316440441;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;6;MINISTERE DE L'EDUCATION NATIONALE
0132148P;Ecole maternelle Granière;ECOLE MATERNELLE PUBLIQUE;GRANIERE;Public;Chemin des Baumillons;;;13015;MARSEILLE;Marseille 15e  Arrondissement;891861.6;6256484.3;EPSG:2154;43.38160736840274;5.366780088249142;Parfaite;Rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13215;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3816073684,5.36678008825;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132152U;Ecole élémentaire Saint Norbert;ECOLE ELEMENTAIRE  PUBLIQUE;SAINT NORBERT;Public;Boulevard des Nations Unies;;;13300;SALON DE PROVENCE;Salon-de-Provence;869772.0;6285660.8;EPSG:2154;43.649631956501274;5.104010330876341;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13103;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.6496319565,5.10401033088;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132169M;Ecole élémentaire La Mareschale;ECOLE ELEMENTAIRE  PUBLIQUE;MARESCHALE (LA);Public;Avenue Albert Baudouin;;;13100;AIX EN PROVENCE;Aix-en-Provence;896751.1;6272594.3;EPSG:2154;43.52514046463347;5.433180566671467;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13001;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.5251404646,5.43318056667;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132179Y;Ecole élémentaire Canet Jean Jaurès;ECOLE ELEMENTAIRE PUBLIQUE;CANET JEAN JAURES;Public;20 rue du Muret;;;13014;MARSEILLE;Marseille 14e  Arrondissement;893156.7;6250979.7;EPSG:2154;43.331759877921854;5.380699949822518;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13214;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3317598779,5.38069994982;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132185E;Ecole élémentaire Bois Lemaitre;ECOLE ELEMENTAIRE  PUBLIQUE;BOIS LEMAITRE;Public;Avenue Jean Compadieu;;;13012;MARSEILLE;Marseille 12e  Arrondissement;897432.0;6249929.0;EPSG:2154;43.321140228127064;5.432962111328207;Parfaite;Rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;13;93;2;13212;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.3211402281,5.43296211133;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132190K;Ecole maternelle Parc Méditerranée;ECOLE MATERNELLE PUBLIQUE;MEDITERRANEE (PARC);Public;Parc Méditerranée;;;13700;MARIGNANE;Marignane;879707.8;6260542.5;EPSG:2154;43.42127509207984;5.21833989417323;Moyenne;Ville;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13054;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4212750921,5.21833989417;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132204A;Collège Pont de Vivaux;COLLEGE;PONT DE VIVAUX;Public;31  RUE FRANCOIS MAURIAC;;;13010;MARSEILLE;Marseille 10e  Arrondissement;896273.3;6244990.8;EPSG:2154;43.27705886764262;5.416830370752995;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;13;93;2;13210;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.2770588676,5.41683037075;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132217P;Collège Mont Sauvy;COLLEGE;MONT SAUVY;Public;AVENUE DU LT COLONEL REYNAUD;;;13660;ORGON;Orgon;863485.0;6301778.0;EPSG:2154;43.7960920994055;5.031266668352428;MANUEL;BATIMENT;340;COLLEGE;1;OUVERT;13;93;2;13067;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.7960920994,5.03126666835;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132250A;Ecole maternelle Paul Di Lorto;ECOLE MATERNELLE PUBLIQUE;PAUL DI LORTO;Public;Allée Denise Soleibeau;;;13500;MARTIGUES;Martigues;866085.2;6259295.5;EPSG:2154;43.41337246272877;5.04985962315308;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13056;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4133724627,5.04985962315;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
0132255F;Ecole maternelle Jean Rostand;ECOLE MATERNELLE PUBLIQUE;JEAN ROSTAND;Public;Quartier des Aires Est;;;13920;ST MITRE LES REMPARTS;Saint-Mitre-les-Remparts;863540.5;6264092.8;EPSG:2154;43.45710735380096;5.019980514160827;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;13;93;2;13098;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;Aix-Marseille;43.4571073538,5.01998051416;99;SANS OBJET;6;MINISTERE DE L'EDUCATION NATIONALE
